Nome Carta,Numero Carta,Prezzo,Info Holo,Rarità,Edition,Set
Bulbasaur,1/108, 10.75,Non-Holo,Promo,Build-A-Bear,Dark Explorers
Bulbasaur,1/108, 10.40,Non-Holo,Common,Unlimited,Dark Explorers
Bulbasaur,1/108, 13.64,Reverse Holo,Common,Unlimited,Dark Explorers
Ivysaur,2/108, 5.73,Non-Holo,Uncommon,Unlimited,Dark Explorers
Ivysaur,2/108, 11.60,Reverse Holo,Uncommon,Unlimited,Dark Explorers
Venusaur,3/108, 12.50,Holo,Promo,Cosmos Holo,Dark Explorers
Venusaur,3/108, 8.93,Holo,Rare Holo,Unlimited,Dark Explorers
Venusaur,3/108, 8.95,Reverse Holo,Rare Holo,Unlimited,Dark Explorers
Scyther,4/108,NO DATA YET!,Reverse Holo,Promo,1st Place,Dark Explorers
Scyther,4/108, 3.25,Non-Holo,Uncommon,Unlimited,Dark Explorers
Scyther,4/108,NO DATA YET!,Reverse Holo,Promo,2nd Place,Dark Explorers
Scyther,4/108,NO DATA YET!,Reverse Holo,Promo,3rd Place,Dark Explorers
Scyther,4/108,NO DATA YET!,Reverse Holo,Promo,4th Place,Dark Explorers
Scyther,4/108, 19.90,Reverse Holo,Uncommon,Unlimited,Dark Explorers
Carnivine,5/108, 1.28,Non-Holo,Rare,Unlimited,Dark Explorers
Carnivine,5/108, 1.88,Reverse Holo,Rare,Unlimited,Dark Explorers
Leafeon,6/108, 4.90,Non-Holo,Rare,Unlimited,Dark Explorers
Leafeon,6/108, 12.55,Reverse Holo,Rare,Unlimited,Dark Explorers
Dwebble,7/108, 0.94,Non-Holo,Common,Unlimited,Dark Explorers
Dwebble,7/108, 0.09,Reverse Holo,Common,Unlimited,Dark Explorers
Crustle,8/108, 0.94,Non-Holo,Uncommon,Unlimited,Dark Explorers
Crustle,8/108, 2.09,Reverse Holo,Uncommon,Unlimited,Dark Explorers
Karrablast,9/108,NO DATA YET!,Non-Holo,Common,Unlimited,Dark Explorers
Karrablast,9/108, 0.09,Reverse Holo,Common,Unlimited,Dark Explorers
Shelmet,10/108, 0.70,Non-Holo,Common,Unlimited,Dark Explorers
Shelmet,10/108, 0.75,Reverse Holo,Common,Unlimited,Dark Explorers
Accelgor,11/108, 1.99,Non-Holo,Rare,Unlimited,Dark Explorers
Accelgor,11/108,NO DATA YET!,Reverse Holo,Rare,Unlimited,Dark Explorers
Flareon,12/108, 2.80,Non-Holo,Uncommon,Unlimited,Dark Explorers
Flareon,12/108, 34.10,Reverse Holo,Promo,Regional Championships,Dark Explorers
Flareon,12/108, 94.05,Reverse Holo,Promo,Staff Regional Championships,Dark Explorers
Flareon,12/108, 10.04,Reverse Holo,Uncommon,Unlimited,Dark Explorers
Entei EX,13/108, 7.00,Holo,Rare Holo EX,Unlimited,Dark Explorers
Torchic,14/108, 1.66,Non-Holo,Common,Unlimited,Dark Explorers
Torchic,14/108, 0.72,Reverse Holo,Common,Unlimited,Dark Explorers
Torchic,15/108,NO DATA YET!,Non-Holo,Common,Unlimited,Dark Explorers
Torchic,15/108, 7.99,Reverse Holo,Common,Unlimited,Dark Explorers
Combusken,16/108, 1.15,Non-Holo,Uncommon,Unlimited,Dark Explorers
Combusken,16/108,NO DATA YET!,Reverse Holo,Uncommon,Unlimited,Dark Explorers
Blaziken,17/108, 5.09,Holo,Promo,Cosmos Holo,Dark Explorers
Blaziken,17/108, 2.96,Holo,Rare Holo,Unlimited,Dark Explorers
Blaziken,17/108, 0.72,Reverse Holo,Rare Holo,Unlimited,Dark Explorers
Torkoal,18/108, 9.60,Non-Holo,Uncommon,Unlimited,Dark Explorers
